CellType,Symbol,AffymetrixID,UGCIuster         I,EntrezGene Name,
B cells,MS4A1,217418 x at,Hs.438040,"931 membrane-spanning 4-domains, subfamily A, member 1",
B cells,TCL1A,209995_s_at,Hs.2484,8115 T-cell IeukemiaZIymphoma IA,
B cells,MS4A1,210356_x_at,Hs.438040,"931 membrane-spanning 4-domains, subfamily A, member 1",
B cells,TCL1A,39318_at,Hs.2484,8115 T-cell IeukemiaZIymphoma IA,
B cells,HLA-DOB,20567? s at,Hs. 1802,"3112 major histocompatibility complex, class II, DO beta",
B cells,PNOC,205901_at,Hs.88218,5368 prepronociceptin,
B cells,KIAA0125,206478_at,"Hs.632338, Hs.64925",9834 KIAAOI25,
B cells,CD19,206398_s_at,Hs.652262,930 CD19 molecule,
B cells,CR2,205544_s_at,Hs.445757,1380 complement component (3dZEpstein Barr virus) receptor 2,
B cells,IGHG1,213674_x_at,Hs.510635,3500 immunoglobulin heavy constant gamma 1 (G1m marker),
B cells,FCRL2,221239_s_at,Hs.437393,79368 Fc receptor-like 2,
B cells,BLK,206255-aΓ,Hs. 146591,640 B Iymphoid tyrosine kinase,
B cells,IGHG1,22228S.at,Hs.510635,3500 immunoglobulin heavy constant gamma 1 (G1m marker),
B cells,COCH,205229 s at,Hs.21016,"1690 coagulation factor C homolog, cochlin (Limulus polyphemus)",
B cells,OSBPL10,219073_s_at,Hs. 150122,114884 oxysterol binding protein-like 10,
B cells,IGHA1,215118_s_at,Hs.648398,3493 immunoglobulin heavy constant alpha 1,
B cells,TNFRSF17,206641_aF,Hs.2556,"608 tumor necrosis factor receptor superfamily, member 17",
B cells,ABCB4,207819_s_at,Hs.654403,"5244 ATP-binding cassette, sub-family B (MDRZTAP), member 4",
B cells,BLNK,207655 s at,Hs.665244,29760 B-cell linker,
B cells,GLDC,204836-at,Hs.584238,2731 glycine dehydrogenase (decarboxylating),
B cells,MEF2C,209200-at,Hs.654474,4208 myocyte enhancer factor 2C,
B cells,MEF2C,209199 s at,Hs.654474,4208 myocyte enhancer factor 2C,
B cells,IGHM,209374_s_at,Hs.510635,3507 immunoglobulin heavy constant mu,
B cells,FAM30A,220377-aΓ,Hs.649259,"29064 family with sequence similarity 30, member A",
B cells,SPIB,205861_at,Hs.437905,6639 Spi-Btranscription factor (Spi-1 ZPU. 1 related),
B cells,BCL11A,219497_s_at,Hs.370549,53335 B-cell CLLZIymphoma IIA (zinc finger protein),
B cells,GNG7,206896 s at,Hs.515544,"2788 guanine nucleotide binding protein (G protein), gamma 7",
B cells,IGKC,215217.at,Hs.449621,3514 immunoglobulin kappa constant,
B cells,CD72,215925 s at,Hs. 116481,971 CD72 molecule,
B cells,MICAL3,212715 s at,"Hs.528024, Hs.64643","57553 microtubule associated monoxygenase, calponin and LIM domain containing 3",
B cells,BCL11A,210347 s at,Hs.370549,53335 B-cell CLLZIymphoma IIA (zinc finger protein),
B cells,BACH2,221234_s_at,Hs.269764,"60468 BTB and CNC homology 1, basic leucine zipper transcription factor 2",
B cells,IGL@,217138_x_at,Hs.449585,3535 immunoglobulin lambda locus,
B cells,CCR9,207445 s at,Hs.225946,10803 Chemokine (C-C motif) receptor 9,
B cells,QRSL1,218948-aΓ,Hs.406917,55278 gl utam inyl-t RNA synth ase (g Iutam in e-h ydrol yz in g )-li ke 1,
B cells,DTNB,215565-at,Hs.307720,"1838 dystrobrevin, beta",
B cells,HLA-DQA1,212671 s at,Hs.387679,"3117 major histocompatibility complex, class II, DQ alpha 1",
B cells,SCN3A,210432_s_at,"Hs.435274, Hs.67109","6328 sodium channel, voltage-gated, type III, alpha subunit",
B cells,QRSL1,218949 s at,Hs.406917,55278 glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,
B cells,SLC15A2,205316_at,Hs.518089,"6565 solute carrier family 15 (H+Zpeptide transporter), member 2",
T cells,PRKCQ,210038-at,Hs.498570,"5588 protein kinase C, theta",
T cells,CD3D,213539.at,Hs.504048,"915 CD3d molecule, delta (CD3-TCR complex)",
T cells,CD3G,206804-at,Hs.2259,"917 CD3g molecule, gamma (CD3-TCR complex)",
T cells,CD28,206545-at,Hs.591629,940 CD28 molecule,
T cells,LCK,204891 s at,Hs.470627,3932 Iymphocyte-specific protein tyrosine kinase,
T cells,TRAT1,217147_s_at,Hs. 138701,50852 T cell receptor associated transmembrane adaptor 1,
T cells,PRKCQ,210039 s at,Hs.498570,"5588 protein kinase C, theta",
T cells,BCL11B,219528_s_at,Hs.510396,64919 B-cell CLLZIymphorna IlB (zinc finger protein),
T cells,CD2,205831 _at,Hs.523500,914 CD2 molecule,
T cells,LCK,204890_s_at,Hs.470627,3932 Iymphocyte-specific protein tyrosine kinase,
T cells,TRBC1,213193 x at,Hs.654496,28639 T cell receptor beta constant 1,
T cells,TRBC1,210915_x_at,Hs.654496,28639 T cell receptor beta constant 1,
T cells,TRA@,209670-aΓ,Hs.74647,28755 T cell receptor alpha constant,
T cells,ITM2A,202747 s at,Hs.17109,9452 integral membrane protein 2A,
T cells,SH2D1A,210116-aΓ,Hs.349094,"4068 SH2 domain protein 1A, Duncan's disease (lymphoproliferative syndrome)",
T cells,CD6,213958-at,Hs.643167,923 CD6 molecule,
T cells,CD96,206761.at,Hs. 142023,10225 CD96 molecule,
T cells,NCALD,211685_s_at,"Hs.492427, Hs.68013",83988 neurocalcin delta,
T cells,GIMAP5,218805-aΓ,Hs.647079,"55340 GTPase, IMAPfamiIy member 5",
T cells,TRA@,209671 _x_at,Hs.74647,6955 T cell receptor alpha locus,
T cells,CD3E,205456-aΓ,Hs.3003,"916 CD3e molecule, epsilon (CD3-TCR complex)",
T cells,SKAP1,205790_at,Hs.316931,8631 src kinase associated phosphoprotein 1,
T cells,TRA@,213830-at,Hs.74647,6955 T cell receptor alpha locus,
T cells,TRA@,216191_s_at,Hs.74647,6955 T cell receptor alpha locus,
T helper cells,ICOS,210439-aΓ,Hs.56247,29851 inducible T-cell co-stimuIator,
T helper cells,LRBA,214109-at,Hs.480938,"987 LPS-responsive vesicle trafficking, beach and anchor containing",
T helper cells,ITM2A,202746-at,Hs.17109,9452 integral membrane protein 2A,
T helper cells,FAM111A,218248-at,Hs. 150651,"63901 family with sequence similarity 111, member A",
T helper cells,PHF10,219126-at,Hs.435933,55274 PHD finger protein 10,
T helper cells,NUP107,218768-at,Hs.524574,57122 nu Cleoporin 107kDa,
T helper cells,SEC24C,202361_at,Hs.654429,"9632 SEC24 related gene family, member C (S. cerevisiae)",
T helper cells,NAP1L4,201414_s_at,Hs.501684,4676 nucleosome assembly protein I-Iike 4,
T helper cells,BATF,205965-at,Hs.509964,"10538 basic leucine zipper transcription factor, ATF-Iike",
T helper cells,ASF1A,203428_s_at,Hs.292316,25842 ASFl anti-silencing function 1 homolog A (S. cerevisiae),
T helper cells,FRYL,212546_s_at,"Hs.631525, Hs.64632",285527 FRY-Iike,
T helper cells,FUSIP1,213594_x_at,"Hs.3530, Hs.652334",10772 FUS interacting protein (serineZarginine-rich) 1,
T helper cells,TRA@,215524 x at,"Hs.74647, Hs.499145",10730 YMEI-Iike 1 (S. cerevisiae),
T helper cells,TRA@,217412-at,,6955,
T helper cells,RPA1,201528-at,"Hs.461925, Hs.59556","6117 replication protein Al, 70kDa",
T helper cells,UBE2L3,200683 s at,"Hs.108104, Hs.69370",7332 ubiquitin-conjugating enzyme E2L 3,
